"Rank","State","GDP
(in millions $USD)"
"1","California","1,958,904"
"2","Texas","1,308,132"
"3","New York","1,157,969"
"4","Florida","843,091"
"5","Illinois","751,094"
"6","Pennsylvania","647,443"
"7","Ohio","551,881"
"8","New Jersey","509,070"
"9","North Carolina","496,092"
"10","Virginia","478,747"
"11","Georgia","469,809"
"12","Massachusetts","437,577"
"13","Michigan","437,247"
"14","Washington","412,906"
"15","Maryland","344,373"
"16","Minnesota","323,912"
"17","Indiana","326,933"
"18","Colorado","295,308"
"19","Tennessee","303,997"
"20","Arizona","290,098"
"21","Wisconsin","281,741"
"22","Missouri","279,099"
"23","Louisiana","260,877"
"24","Connecticut","243,386"
"25","Oregon","217,228"
"26","Alabama","196,330"
"27","South Carolina","191,278"
"28","Kentucky","186,266"
"29","Oklahoma","173,146"
"30","Iowa","165,597"
"31","Kansas","149,367"
"32","Nevada","143,503"
"33","Utah","142,329"
"—","District of Columbia","117,643"
"34","Arkansas","117,496"
"35","Mississippi","110,272"
"36","Nebraska","107,889"
"37","New Mexico","85,497"
"38","Hawaii","78,977"
"39","Delaware","70,293"
"40","New Hampshire","69,572"
"41","West Virginia","65,765"
"42","Idaho","62,463"
"43","Maine","57,821"
"44","Alaska","54,702"
"45","Rhode Island","54,663"
"46","South Dakota","45,443"
"47","North Dakota","55,262"
"48","Montana","45,983"
"49","Wyoming","40,542"
"50","Vermont","29,968"
