"Company","Software","On-demand scan","On-access scan","Heuristics","CloudAV","Firewall","IDS","IPS","Email Security","AntiSpam","Web protection","Live-Update","Support","AV Comparatives","License","Price","First release","Country of origin","Notes"
"Avast","Avast Mac Security","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Proprietary","Free","2012","Czech Republic",""
"Avira Operations","Avira Free Mac Security","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","No","Yes","Proprietary","Free","2011","Germany",""
"Bitdefender","Bitdefender Antivirus for Mac","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Proprietary","Non-free","2011","Romania",""
"Cisco","Clam AntiVirus","Yes","Yes","No","No","No","No","No","Yes","No","No","Yes","No","No","GNU GPL","Free","2000","United States",""
"Comodo Group","Comodo Mac Security","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No","Proprietary","Free","2012","United States",""
"Dr. Web","Dr. Web Anti-virus for Mac OS X","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","Proprietary","Trialware","2012","Russia",""
"ESET","ESET Cyber Security","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","No","Proprietary","Non-free","2011","Slovakia",""
"ESET","ESET Cyber Security Pro","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","Yes","Proprietary","Non-free","2013","Slovakia",""
"F-Secure","F-Secure Anti-Virus for Mac","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary","Non-free","2008","Finland","Third-party antivirus engine (Bitdefender + F-PROT)"
"Intego","VirusBarrier","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","Proprietary","Non-free","1997","United States",""
"Intego","Mac Internet Security","Yes","Yes","No","No","Yes","No","No","No","No","Yes","Yes","Yes","No","Proprietary","Non-free","2000","United States",""
"Kaspersky Lab","Kaspersky Internet Security","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Proprietary","Non-free","2010","Russia",""
"Panda Security","Panda Antivirus for Mac","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary","Non-free","2008","Spain",""
"ProtectMac","ProtectMac AntiVirus","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Proprietary","Non-free","2007","United Kingdom",""
"PSafe","PSafe TOTAL Mac","Yes","Yes","No","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","Proprietary","Free","2013","Brazil",""
"Quick Heal","Quick Heal] Total Security for Mac","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","No","Proprietary","Non-free","2012","India",""
"Sophos","Sophos Anti-Virus for Mac","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Proprietary","Free","2010","United Kingdom",""
"Symantec","Symantec Endpoint Protection","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Proprietary","Non-free","2012","United States",""
"Symantec","Norton AntiVirus for Mac","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","Yes","Proprietary","Non-free","2012","United States",""
"Trend Micro","Titanium Internet Security for Mac","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Proprietary","Non-free","2011","Japan",""
"Webroot","SecureAnywhere AntiVirus","Yes","Yes","No","No","No","No","No","No","No","Yes (only in Apple Safari)","Yes","No","No","Proprietary","Trialware","2012","United States",""
"Webroot","SecureAnywhere Internet Security Plus","Yes","Yes","No","No","No","No","No","No","No","Yes (only in Apple Safari)","Yes","No","No","Proprietary","Trialware","2012","United States",""
"","","","","","","","","","","","","","","","","","","",""
